phase_name,Zn,Mg,Cu
LIQUID,100,0,0
LIQUID,99,0,1
LIQUID,99,1,0
LIQUID,98,0,2
LIQUID,98,1,1
LIQUID,98,2,0
LIQUID,97,0,3
LIQUID,97,1,2
LIQUID,97,2,1
LIQUID,97,3,0
LIQUID,96,0,4
LIQUID,96,1,3
LIQUID,96,2,2
LIQUID,96,3,1
LIQUID,96,4,0
LIQUID,95,0,5
LIQUID,95,1,4
LIQUID,95,2,3
LIQUID,95,3,2
LIQUID,95,4,1
LIQUID,95,5,0
LIQUID,94,0,6
LIQUID,94,1,5
LIQUID,94,2,4
LIQUID,94,3,3
LIQUID,94,4,2
LIQUID,94,5,1
LIQUID,94,6,0
LIQUID,93,0,7
LIQUID,93,1,6
LIQUID,93,2,5
LIQUID,93,3,4
LIQUID,93,4,3
LIQUID,93,5,2
LIQUID,93,6,1
LIQUID,93,7,0
LIQUID,92,0,8
LIQUID,92,1,7
LIQUID,92,2,6
LIQUID,92,3,5
LIQUID,92,4,4
LIQUID,92,5,3
LIQUID,92,6,2
LIQUID,92,7,1
LIQUID,92,8,0
LIQUID,91,0,9
LIQUID,91,1,8
LIQUID,91,2,7
LIQUID,91,3,6
LIQUID,91,4,5
LIQUID,91,5,4
LIQUID,91,6,3
LIQUID,91,7,2
LIQUID,91,8,1
LIQUID,91,9,0
LIQUID,90,0,10
LIQUID,90,1,9
LIQUID,90,2,8
LIQUID,90,3,7
LIQUID,90,4,6
LIQUID,90,5,5
LIQUID,90,6,4
LIQUID,90,7,3
LIQUID,90,8,2
LIQUID,90,9,1
LIQUID,90,10,0
LIQUID,89,0,11
LIQUID,89,1,10
LIQUID,89,2,9
LIQUID,89,3,8
LIQUID,89,4,7
LIQUID,89,5,6
LIQUID,89,6,5
LIQUID,89,7,4
LIQUID,89,8,3
LIQUID,89,9,2
LIQUID,89,10,1
LIQUID,89,11,0
LIQUID,88,0,12
LIQUID,88,1,11
LIQUID,88,2,10
LIQUID,88,3,9
LIQUID,88,4,8
LIQUID,88,5,7
LIQUID,88,6,6
LIQUID,88,7,5
LIQUID,88,8,4
LIQUID,88,9,3
LIQUID,88,10,2
LIQUID,88,11,1
LIQUID,88,12,0
LIQUID,87,0,13
LIQUID,87,1,12
LIQUID,87,2,11
LIQUID,87,3,10
LIQUID,87,4,9
LIQUID,87,5,8
LIQUID,87,6,7
LIQUID,87,7,6
LIQUID,87,8,5
LIQUID,87,9,4
LIQUID,87,10,3
LIQUID,87,11,2
LIQUID,87,12,1
LIQUID,87,13,0
LIQUID,86,0,14
LIQUID,86,1,13
LIQUID,86,2,12
LIQUID,86,3,11
LIQUID,86,4,10
LIQUID,86,5,9
LIQUID,86,6,8
LIQUID,86,7,7
LIQUID,86,8,6
LIQUID,86,9,5
LIQUID,86,10,4
LIQUID,86,11,3
LIQUID,86,12,2
LIQUID,86,13,1
LIQUID,86,14,0
LIQUID,85,0,15
LIQUID,85,1,14
LIQUID,85,2,13
LIQUID,85,3,12
LIQUID,85,4,11
LIQUID,85,5,10
LIQUID,85,6,9
LIQUID,85,7,8
LIQUID,85,8,7
LIQUID,85,9,6
LIQUID,85,10,5
LIQUID,85,11,4
LIQUID,85,12,3
LIQUID,85,13,2
LIQUID,85,14,1
LIQUID,85,15,0
LIQUID,84,0,16
LIQUID,84,1,15
LIQUID,84,2,14
LIQUID,84,3,13
LIQUID,84,4,12
LIQUID,84,5,11
LIQUID,84,6,10
LIQUID,84,7,9
LIQUID,84,8,8
LIQUID,84,9,7
LIQUID,84,10,6
LIQUID,84,11,5
LIQUID,84,12,4
LIQUID,84,13,3
LIQUID,84,14,2
LIQUID,84,15,1
LIQUID,84,16,0
LIQUID,83,0,17
LIQUID,83,1,16
LIQUID,83,2,15
LIQUID,83,3,14
LIQUID,83,4,13
LIQUID,83,5,12
LIQUID,83,6,11
LIQUID,83,7,10
LIQUID,83,8,9
LIQUID,83,9,8
LIQUID,83,10,7
LIQUID,83,11,6
LIQUID,83,12,5
LIQUID,83,13,4
LIQUID,83,14,3
LIQUID,83,15,2
LIQUID,83,16,1
LIQUID,83,17,0
LIQUID,82,0,18
LIQUID,82,1,17
LIQUID,82,2,16
LIQUID,82,3,15
LIQUID,82,4,14
LIQUID,82,5,13
LIQUID,82,6,12
LIQUID,82,7,11
LIQUID,82,8,10
LIQUID,82,9,9
LIQUID,82,10,8
LIQUID,82,11,7
LIQUID,82,12,6
LIQUID,82,13,5
LIQUID,82,14,4
LIQUID,82,15,3
LIQUID,82,16,2
LIQUID,82,17,1
LIQUID,82,18,0
LIQUID,81,0,19
LIQUID,81,1,18
LIQUID,81,2,17
LIQUID,81,3,16
LIQUID,81,4,15
LIQUID,81,5,14
LIQUID,81,6,13
LIQUID,81,7,12
LIQUID,81,8,11
LIQUID,81,9,10
LIQUID,81,10,9
LIQUID,81,11,8
LIQUID,81,12,7
LIQUID,81,13,6
LIQUID,81,14,5
LIQUID,81,15,4
LIQUID,81,16,3
LIQUID,81,17,2
LIQUID,81,18,1
LIQUID,81,19,0
LIQUID,80,0,20
LIQUID,80,1,19
LIQUID,80,2,18
LIQUID,80,3,17
LIQUID,80,4,16
LIQUID,80,5,15
LIQUID,80,6,14
LIQUID,80,7,13
LIQUID,80,8,12
LIQUID,80,9,11
LIQUID,80,10,10
LIQUID,80,11,9
LIQUID,80,12,8
LIQUID,80,13,7
LIQUID,80,14,6
LIQUID,80,15,5
LIQUID,80,16,4
LIQUID,80,17,3
LIQUID,80,18,2
LIQUID,80,19,1
LIQUID,80,20,0
LIQUID,79,0,21
LIQUID,79,1,20
LIQUID,79,2,19
LIQUID,79,3,18
LIQUID,79,4,17
LIQUID,79,5,16
LIQUID,79,6,15
LIQUID,79,7,14
LIQUID,79,8,13
LIQUID,79,9,12
LIQUID,79,10,11
LIQUID,79,11,10
LIQUID,79,12,9
LIQUID,79,13,8
LIQUID,79,14,7
LIQUID,79,15,6
LIQUID,79,16,5
LIQUID,79,17,4
LIQUID,79,18,3
LIQUID,79,19,2
LIQUID,79,20,1
LIQUID,79,21,0
LIQUID,78,0,22
LIQUID,78,1,21
LIQUID,78,2,20
LIQUID,78,3,19
LIQUID,78,4,18
LIQUID,78,5,17
LIQUID,78,6,16
LIQUID,78,7,15
LIQUID,78,8,14
LIQUID,78,9,13
LIQUID,78,10,12
LIQUID,78,11,11
LIQUID,78,12,10
LIQUID,78,13,9
LIQUID,78,14,8
LIQUID,78,15,7
LIQUID,78,16,6
LIQUID,78,17,5
LIQUID,78,18,4
LIQUID,78,19,3
LIQUID,78,20,2
LIQUID,78,21,1
LIQUID,78,22,0
LIQUID,77,0,23
LIQUID,77,1,22
LIQUID,77,2,21
LIQUID,77,3,20
LIQUID,77,4,19
LIQUID,77,5,18
LIQUID,77,6,17
LIQUID,77,7,16
LIQUID,77,8,15
LIQUID,77,9,14
LIQUID,77,10,13
LIQUID,77,11,12
LIQUID,77,12,11
LIQUID,77,13,10
LIQUID,77,14,9
LIQUID,77,15,8
LIQUID,77,16,7
LIQUID,77,17,6
LIQUID,77,18,5
LIQUID,77,19,4
LIQUID,77,20,3
LIQUID,77,21,2
LIQUID,77,22,1
LIQUID,77,23,0
LIQUID,76,0,24
LIQUID,76,1,23
LIQUID,76,2,22
LIQUID,76,3,21
LIQUID,76,4,20
LIQUID,76,5,19
LIQUID,76,6,18
LIQUID,76,7,17
LIQUID,76,8,16
LIQUID,76,9,15
