phase_name,Zn,Mg,Cu,T
HCP_ZN,100,0,0,500
HCP_ZN,99,1,0,500
HCP_ZN,98,2,0,500
HCP_ZN+MG2ZN11,97,3,0,500
HCP_ZN+MG2ZN11,96,4,0,500
HCP_ZN+MG2ZN11,95,5,0,500
HCP_ZN+MG2ZN11,94,6,0,500
HCP_ZN+MG2ZN11,93,7,0,500
HCP_ZN+MG2ZN11,92,8,0,500
HCP_ZN+MG2ZN11,91,9,0,500
HCP_ZN+MG2ZN11,90,10,0,500
HCP_ZN+MG2ZN11,89,11,0,500
HCP_ZN+MG2ZN11,88,12,0,500
HCP_ZN+MG2ZN11,87,13,0,500
HCP_ZN+MG2ZN11,86,14,0,500
HCP_ZN+MG2ZN11,85,15,0,500
HCP_ZN+MG2ZN11,84,16,0,500
HCP_ZN+MG2ZN11,83,17,0,500
LAVES_C14+MG2ZN11,82,18,0,500
LAVES_C14+MG2ZN11,81,19,0,500
LAVES_C14+MG2ZN11,80,20,0,500
LAVES_C14+MG2ZN11,79,21,0,500
LAVES_C14+MG2ZN11,78,22,0,500
LAVES_C14+MG2ZN11,77,23,0,500
LAVES_C14+MG2ZN11,76,24,0,500
LAVES_C14+MG2ZN11,75,25,0,500
LAVES_C14+MG2ZN11,74,26,0,500
LAVES_C14+MG2ZN11,73,27,0,500
LAVES_C14+MG2ZN11,72,28,0,500
LAVES_C14+MG2ZN11,71,29,0,500
LAVES_C14+MG2ZN11,70,30,0,500
LAVES_C14+MG2ZN11,69,31,0,500
LAVES_C14+MG2ZN11,68,32,0,500
LAVES_C14+MG2ZN3,67,33,0,500
LAVES_C14+MG2ZN3,66,34,0,500
LAVES_C14+MG2ZN3,65,35,0,500
LAVES_C14+MG2ZN3,64,36,0,500
LAVES_C14+MG2ZN3,63,37,0,500
LAVES_C14+MG2ZN3,62,38,0,500
LAVES_C14+MG2ZN3,61,39,0,500
LAVES_C14+MG2ZN3,60,40,0,500
LAVES_C14+MG2ZN3,59,41,0,500
LAVES_C14+MG2ZN3,58,42,0,500
MG2ZN3+MGZN,57,43,0,500
MG2ZN3+MGZN,56,44,0,500
MG2ZN3+MGZN,55,45,0,500
MG2ZN3+MGZN,54,46,0,500
MG2ZN3+MGZN,53,47,0,500
HCP_A3+MGZN,52,48,0,500
HCP_A3+MGZN,51,49,0,500
HCP_A3+MGZN,50,50,0,500
HCP_A3+MGZN,49,51,0,500
HCP_A3+MGZN,48,52,0,500
HCP_A3+MGZN,47,53,0,500
HCP_A3+MGZN,46,54,0,500
HCP_A3+MGZN,45,55,0,500
HCP_A3+MGZN,44,56,0,500
HCP_A3+MGZN,43,57,0,500
HCP_A3+MGZN,42,58,0,500
HCP_A3+MGZN,41,59,0,500
HCP_A3+MGZN,40,60,0,500
HCP_A3+MGZN,39,61,0,500
HCP_A3+MGZN,38,62,0,500
HCP_A3+MGZN,37,63,0,500
HCP_A3+MGZN,36,64,0,500
HCP_A3+MGZN,35,65,0,500
HCP_A3+MGZN,34,66,0,500
HCP_A3+MGZN,33,67,0,500
HCP_A3+MGZN,32,68,0,500
HCP_A3+MGZN,31,69,0,500
HCP_A3+MGZN,30,70,0,500
HCP_A3+MGZN,29,71,0,500
HCP_A3+MGZN,28,72,0,500
HCP_A3+MGZN,27,73,0,500
HCP_A3+MGZN,26,74,0,500
HCP_A3+MGZN,25,75,0,500
HCP_A3+MGZN,24,76,0,500
HCP_A3+MGZN,23,77,0,500
HCP_A3+MGZN,22,78,0,500
HCP_A3+MGZN,21,79,0,500
HCP_A3+MGZN,20,80,0,500
HCP_A3+MGZN,19,81,0,500
HCP_A3+MGZN,18,82,0,500
HCP_A3+MGZN,17,83,0,500
HCP_A3+MGZN,16,84,0,500
HCP_A3+MGZN,15,85,0,500
HCP_A3+MGZN,14,86,0,500
HCP_A3+MGZN,13,87,0,500
HCP_A3+MGZN,12,88,0,500
HCP_A3+MGZN,11,89,0,500
HCP_A3+MGZN,10,90,0,500
HCP_A3+MGZN,9,91,0,500
HCP_A3+MGZN,8,92,0,500
HCP_A3+MGZN,7,93,0,500
HCP_A3+MGZN,6,94,0,500
HCP_A3+MGZN,5,95,0,500
HCP_A3+MGZN,4,96,0,500
